Date,Area,Category,Phase
1982-01-21,0.2824,7,0.8588
1982-01-22,0.2153,7,0.8924
1982-01-23,0.1481,7,0.9259
1982-01-24,0.081,0,0.9595
1982-01-25,0.0138,0,0.9931
1982-01-26,0.0535,0,0.0268
1982-01-27,0.1209,0,0.0605
1982-01-28,0.1883,1,0.0942
1982-01-29,0.2557,1,0.1279
1982-01-30,0.3231,1,0.1615
1982-01-31,0.3905,2,0.1952
1982-02-01,0.4579,2,0.2289
1982-02-02,0.5253,3,0.2626
1982-02-03,0.5926,3,0.2963
1982-02-04,0.66,3,0.33
1982-02-05,0.7274,3,0.3637
1982-02-06,0.7948,3,0.3974
1982-02-07,0.8622,3,0.4311
1982-02-08,0.9296,4,0.4648
1982-02-09,0.997,4,0.4985
1982-02-10,0.9356,4,0.5322
1982-02-11,0.8682,5,0.5659
1982-02-12,0.8009,5,0.5996
1982-02-13,0.7335,5,0.6333
1982-02-14,0.6661,5,0.667
1982-02-15,0.5987,6,0.7007
1982-02-16,0.5313,6,0.7344
1982-02-17,0.4639,7,0.768
1982-02-18,0.3965,7,0.8017
1982-02-19,0.3291,7,0.8354
1982-02-20,0.2617,7,0.8691
1982-02-21,0.1944,7,0.9028
1982-02-22,0.127,7,0.9365
1982-02-23,0.0596,0,0.9702
1982-02-24,0.0078,0,0.0039
1982-02-25,0.0755,0,0.0378
1982-02-26,0.1432,1,0.0716
1982-02-27,0.2109,1,0.1055
1982-02-28,0.2786,1,0.1393
1982-03-01,0.3463,1,0.1732
1982-03-02,0.414,2,0.207
1982-03-03,0.4817,2,0.2409
1982-03-04,0.5494,3,0.2747
1982-03-05,0.6171,3,0.3085
1982-03-06,0.6848,3,0.3424
1982-03-07,0.7525,3,0.3762
1982-03-08,0.8202,3,0.4101
1982-03-09,0.8879,4,0.4439
1982-03-10,0.9556,4,0.4778
1982-03-11,0.9767,4,0.5116
1982-03-12,0.9091,4,0.5455
1982-03-13,0.8414,5,0.5793
1982-03-14,0.7737,5,0.6132
1982-03-15,0.706,5,0.647
1982-03-16,0.6383,5,0.6809
1982-03-17,0.5706,6,0.7147
1982-03-18,0.5029,6,0.7486
1982-03-19,0.4352,7,0.7824
1982-03-20,0.3675,7,0.8163
1982-03-21,0.2998,7,0.8501
1982-03-22,0.2321,7,0.8839
1982-03-23,0.1644,7,0.9178
1982-03-24,0.0967,0,0.9516
1982-03-25,0.029,0,0.9855
1982-03-26,0.0388,0,0.0194
1982-03-27,0.1068,0,0.0534
1982-03-28,0.1748,1,0.0874
1982-03-29,0.2427,1,0.1214
